PanelName,HoleName,X,Y,Z,Diameter,Depth
DrawerSideLeft,back_panel_1,6,50,0,4,12
DrawerSideLeft,back_panel_2,6,150,0,4,12
DrawerSideLeft,bottom_panel_1,175,6,0,4,12
DrawerSideLeft,bottom_panel_2,50,6,0,4,12
DrawerSideLeft,dowel_front_1,225,50,6,6,20
DrawerSideLeft,dowel_front_2,225,150,6,6,20
DrawerSideLeft,slide_pilot_35,190,72.5,0,2.5,2
DrawerSideLeft,slide_pilot_163,62,72.5,0,2.5,2
