PanelName,HoleName,X,Y,Z,Diameter,Depth
DrawerBack,left_side_1,0,150,6,4,37
DrawerBack,left_side_2,0,50,6,4,37
DrawerBack,right_side_1,712,150,6,4,37
DrawerBack,right_side_2,712,50,6,4,37
DrawerBack,bottom_panel_1,50,194,0,4,12
DrawerBack,bottom_panel_2,356,194,0,4,12
DrawerBack,bottom_panel_3,662,194,0,4,12
