"material code","material thickness","dimension A (along wood grain)","dimension B","count","edge banding A-1","edge banding A-2","edge banding B-1","edge banding B-2","panel name","panel description"
"MEL-19","19","2300","230","2","1","1","1","0","Corpus Side","Vertical side panel of the main body"
"MEL-19","19","762","230","2","1","0","0","0","Corpus Top/Bottom","Horizontal top and bottom panels"
"MEL-19","19","762","230","1","1","0","0","0","Corpus Middle","Horizontal shelf separating drawers and bookcase"
"MEL-12","12","200","225","12","1","1","0","1","Drawer Side","Vertical side panel of a drawer"
"MEL-12","12","712","200","6","1","1","0","0","Drawer Back","Vertical back panel of a drawer"
"MEL-12","12","712","213","6","0","0","0","0","Drawer Bottom","Bottom panel of a drawer"
"MEL-19","19","797","233","1","1","1","1","1","Drawer Front (First)","Front panel for the bottom drawer"
"MEL-19","19","797","207","4","1","1","1","1","Drawer Front (Standard)","Front panel for the middle 4 drawers"
"MEL-19","19","797","216","1","1","1","1","1","Drawer Front (Top)","Front panel for the top drawer"
"MEL-19","19","762","230","2","1","0","0","0","Shelf","Shelf in the bookcase section"
"MEL-19","19","762","30","2","1","0","0","0","Pedestal Front/Back","Front and back panels of the pedestal"
"MEL-19","19","230","30","2","1","0","0","0","Pedestal Side","Side panels of the pedestal"
"HDF-3","3","2300","800","1","0","0","0","0","HDF Back Panel","The back panel of the entire unit"
